# Farm,Harvest Year 2015-2016,,,
,Volume (fanegas),,,
1394,5.91,,,
1395,1.64,,,
1396,1.78,,,
1397,4.60,,,
1398,5.76,,,
1399,0.00,,,
1400,0.00,,,
1401,0.00,,,
1402,0.56,,,
1403,0.00,,,
1404,0.00,,,
1405,16.54,,,
1406,545.94,,,
1407,26.40,,,
1408,14.40,,,
1409,0.00,,,
1410,36.33,,,
1411,246.16,,,
1412,8.93,,,
1413,22.14,,,
1414,0.18,,,
1415,0.00,,,
1416,0.00,,,
1417,0.00,,,
1418,5.03,,,
1419,17.06,,,
1420,490.63,,,
1421,851.98,,,
1422,0.00,,,
1423,24.14,,,
1424,12.18,,,
1425,0.00,,,
1426,10.28,,,
1427,0.00,,,
1428,12.34,,,
1429,2.18,,,
1430,698.90,,,
1431,345.78,,,
1432,249.70,,,
1433,0.00,,,
1434,0.00,,,
1435,0.00,,,
1436,0.00,,,
1437,0.00,,,
1438,55.94,,,
1439,0.00,,,
1440,5.14,,,
1441,100.86,,,
1442,0.00,,,
1443,19.55,,,
1444,79.51,,,
1445,37.49,,,
1446,213.08,,,
1447,391.95,,,
1448,0.00,,,
1449,19.93,,,
1450,5.26,,,
1451,61.93,,,
1452,0.00,,,
1453,0.46,,,
1454,75.49,,,
1455,403.45,,,
1456,69.99,,,
1457,591.24,,,
1458,20.06,,,
1459,0.00,,,
1460,0.00,,,
1461,0.00,,,
1462,0.00,,,
1463,54.58,,,
1464,17.74,,,
1465,10.86,,,
1466,0.45,,,
1467,25.28,,,
1468,52.61,,,
1469,206.95,,,
1470,182.26,,,
1471,96.28,,,
1472,54.01,,,
1473,0.93,,,
1474,55.99,,,
1475,0.00,,,
1476,49.00,,,
1477,0.00,,,
